x               rho            P              T            ur           uphi        uz         Br           Bphi        Bz
0.010000        0.99956        0.99959        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010163        0.99955        0.99958        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010328        0.99953        0.99956        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010496        0.99950        0.99954        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010667        0.99948        0.99951        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.010840        0.99945        0.99949        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011016        0.99942        0.99946        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011196        0.99940        0.99944        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011378        0.99937        0.99941        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011563        0.99934        0.99939        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011751        0.99932        0.99936        1.000        1.001        1.00       -0.0       -0.012       -0.01       -0.0
0.011942        0.99929        0.99934        1.000        1.001        1.00       -0.0       -0.012       -0.01       -0.0
0.012136        0.99926        0.99931        1.000        1.001        1.00       -0.0       -0.012       -0.01       -0.0
0.012334        0.99923        0.99928        1.000        1.001        1.00       -0.0       -0.012       -0.01       -0.0
0.012534        0.99920        0.99925        1.000        1.001        1.00       -0.0       -0.013       -0.01       -0.0
0.012738        0.99917        0.99923        1.000        1.001        1.00       -0.0       -0.013       -0.01       -0.0
0.012945        0.99914        0.99920        1.000        1.001        1.00       -0.0       -0.013       -0.01       -0.0
0.013156        0.99911        0.99917        1.000        1.001        1.00       -0.0       -0.013       -0.01       -0.0
0.013370        0.99908        0.99914        1.000        1.001        1.00       -0.0       -0.013       -0.01       -0.0
0.013587        0.99905        0.99911        1.000        1.001        1.00       -0.0       -0.014       -0.01       -0.0
