x               rho            P              T              ur             uphi           uz             Br             Bphi           Bz
0.010000        0.99980        0.99981        1.00001        1.00011        1.00000       -0.00863       -0.01000       -0.01000       -0.01000
0.010163        0.99979        0.99981        1.00002        1.00011        1.00000       -0.00877       -0.01016       -0.01016       -0.01016
0.010328        0.99978        0.99980        1.00002        1.00012        0.99999       -0.00891       -0.01033       -0.01033       -0.01033
0.010496        0.99977        0.99979        1.00002        1.00012        0.99999       -0.00906       -0.01050       -0.01050       -0.01050
0.010667        0.99976        0.99978        1.00002        1.00013        0.99999       -0.00920       -0.01067       -0.01067       -0.01067
0.010840        0.99975        0.99977        1.00002        1.00014        0.99999       -0.00935       -0.01084       -0.01084       -0.01084
0.011016        0.99974        0.99976        1.00002        1.00014        0.99999       -0.00950       -0.01102       -0.01102       -0.01102
0.011196        0.99973        0.99975        1.00002        1.00015        0.99999       -0.00966       -0.01120       -0.01120       -0.01120
0.011378        0.99972        0.99974        1.00002        1.00015        0.99999       -0.00982       -0.01138       -0.01138       -0.01138
0.011563        0.99971        0.99973        1.00002        1.00016        0.99999       -0.00998       -0.01156       -0.01156       -0.01156
0.011751        0.99970        0.99972        1.00002        1.00017        0.99999       -0.01014       -0.01175       -0.01175       -0.01175
0.011942        0.99969        0.99971        1.00002        1.00017        0.99999       -0.01030       -0.01194       -0.01194       -0.01194
0.012136        0.99967        0.99970        1.00002        1.00018        0.99999       -0.01047       -0.01214       -0.01214       -0.01214
0.012334        0.99966        0.99969        1.00003        1.00018        0.99999       -0.01064       -0.01233       -0.01233       -0.01233
0.012534        0.99965        0.99968        1.00003        1.00019        0.99999       -0.01081       -0.01253       -0.01253       -0.01253
0.012738        0.99964        0.99967        1.00003        1.00020        0.99999       -0.01099       -0.01274       -0.01274       -0.01274
0.012945        0.99963        0.99965        1.00003        1.00020        0.99999       -0.01117       -0.01294       -0.01294       -0.01294
0.013156        0.99961        0.99964        1.00003        1.00021        0.99999       -0.01135       -0.01316       -0.01316       -0.01316
0.013370        0.99960        0.99963        1.00003        1.00022        0.99999       -0.01154       -0.01337       -0.01337       -0.01337
0.013587        0.99959        0.99962        1.00003        1.00023        0.99999       -0.01172       -0.01359       -0.01359       -0.01359
0.013808        0.99957        0.99961        1.00003        1.00023        0.99999       -0.01191       -0.01381       -0.01381       -0.01381
0.014033        0.99956        0.99959        1.00003        1.00024        0.99999       -0.01211       -0.01403       -0.01403       -0.01403
0.014261        0.99955        0.99958        1.00003        1.00025        0.99999       -0.01231       -0.01426       -0.01426       -0.01426
0.014493        0.99953        0.99957        1.00003        1.00026        0.99999       -0.01251       -0.01449       -0.01449       -0.01449
0.014729        0.99952        0.99955        1.00004        1.00026        0.99999       -0.01271       -0.01473       -0.01473       -0.01473
0.014968        0.99950        0.99954        1.00004        1.00027        0.99999       -0.01292       -0.01497       -0.01497       -0.01497
0.015212        0.99949        0.99953        1.00004        1.00028        0.99999       -0.01313       -0.01521       -0.01521       -0.01521
0.015459        0.99947        0.99951        1.00004        1.00029        0.99999       -0.01334       -0.01546       -0.01546       -0.01546
0.015711        0.99946        0.99950        1.00004        1.00030        0.99999       -0.01356       -0.01571       -0.01571       -0.01571
0.015966        0.99944        0.99949        1.00004        1.00030        0.99999       -0.01378       -0.01597       -0.01597       -0.01597
0.016226        0.99943        0.99947        1.00004        1.00031        0.99999       -0.01400       -0.01622       -0.01622       -0.01622
0.016490        0.99941        0.99946        1.00004        1.00032        0.99999       -0.01423       -0.01649       -0.01649       -0.01649
0.016758        0.99940        0.99944        1.00004        1.00033        0.99999       -0.01446       -0.01676       -0.01676       -0.01676
0.017031        0.99938        0.99943        1.00005        1.00034        0.99999       -0.01470       -0.01703       -0.01703       -0.01703
0.017308        0.99936        0.99941        1.00005        1.00035        0.99998       -0.01494       -0.01731       -0.01731       -0.01731
0.017589        0.99935        0.99940        1.00005        1.00036        0.99998       -0.01518       -0.01759       -0.01759       -0.01759
0.017875        0.99933        0.99938        1.00005        1.00037        0.99998       -0.01543       -0.01787       -0.01787       -0.01787
0.018166        0.99931        0.99936        1.00005        1.00038        0.99998       -0.01568       -0.01816       -0.01816       -0.01816
0.018461        0.99929        0.99935        1.00005        1.00039        0.99998       -0.01593       -0.01846       -0.01846       -0.01846
